Order,Lot Frontage,Lot Area,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Yr Sold,SalePrice,LogSalePrice,Alley_Grvl,Alley_NA,Alley_Pave,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Central Air_N,Central Air_Y,Condition 1_Artery,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 2_Norm,Exterior 1st_AsbShng,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsbShng,Exterior 2nd_BrkFace,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_NA,Heating_GasA,Heating_GasW,House Style_1.5Fin,House Style_1Story,House Style_2Story,House Style_SFoyer,House Style_SLvl,Land Contour_Bnk,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_Corner,Lot Config_CulDSac,Lot Config_FR2,Lot Config_Inside,MS SubClass_20,MS SubClass_30,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_160,MS SubClass_190,MS Zoning_C (all),MS Zoning_FV,MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_NA,Mas Vnr Type_Stone,Misc Feature_NA,Misc Feature_Shed,Neighborhood_Blmngtn,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Roof Matl_CompShg,Roof Style_Gable,Roof Style_Hip,Sale Condition_Abnorml,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_ConLD,Sale Type_New,Sale Type_WD ,Mo Sold_1,Mo Sold_2,Mo Sold_3,Mo Sold_4,Mo Sold_5,Mo Sold_6,Mo Sold_7,Mo Sold_8,Mo Sold_9,Mo Sold_10,Mo Sold_11,Mo Sold_12,TotalFinSF,TotalSF,BsmtFinSF,PorchSF,TotalBath,BsmtBath,AvgBltRemod,PreWarYearBuilt,RecentYearBuilt,YearRemodAdd,haspool,has2ndfloor,hasfireplace,LivAreaRatio,BedRatio,GarageRatio,BathRatio,LotRatio,FireBathRatio,TotalSF x OverallQual x OverallCond,TotalSF x OverallQual x Functional,AvgBltRemod x Functional x TotalFinSF,q1,q2,TotalSF x OverallQual,TotalSF x OverallCond,TotalFinSF x Functional,Functional x OverallQual,AvgBltRemod x OverallCond,AvgBltRemod x TotalFinSF,OverallCond x AvgBltRemod,BsmtFinSF x BsmtQual,BsmtFinSF x BsmtBath,Kitchen AbvGr x KitchenQual,GarageCars x GarageYrBlt,GarageQual x GarageCond x GarageCars,FireplaceQu x Fireplaces
1,141.0,31770,3,4,1,6,5,50,1960,112.0,3,3,3,4,4,4,639.0,1,0.0,441.0,1080.0,2,5,1656,0,0,1656,1.0,1,0,3,1,3,7,8,2,4,50,3,2.0,528.0,3,3,2,210,62,0,0,0,0,0,0,0,2010,215000,12.278397958261774,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2295.0,2736.0,639.0,272,2.0,1.0,50.0,18,0,50,0,0,1,0.08611898016997167,552.0,0.6666666666666666,0.6666666666666666,225.31914893617022,1.0,82080.0,131328.0,918000.0,81,1000.0,16416.0,13680.0,18360.0,48,250.0,114750.0,250.0,1917.0,639.0,3,100.0,18.0,8
2,80.0,11622,4,4,1,5,6,49,1961,0.0,3,3,3,3,1,3,468.0,2,144.0,270.0,882.0,3,5,896,0,0,896,0.0,1,0,2,1,3,5,8,0,0,49,1,1.0,730.0,3,3,3,140,0,0,0,120,0,0,3,0,2010,105000,11.561725152903833,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1508.0,1778.0,612.0,260,1.0,0.0,49.0,19,0,49,0,0,0,0.152985716744106,448.0,0.5,0.5,145.275,0.0,53340.0,71120.0,591136.0,81,980.0,8890.0,10668.0,12064.0,40,294.0,73892.0,294.0,1836.0,0.0,3,49.0,9.0,0
3,81.0,14267,3,4,1,6,6,52,1958,108.0,3,3,3,3,1,5,923.0,1,0.0,406.0,1329.0,3,5,1329,0,0,1329,0.0,1,1,3,1,4,6,8,0,0,52,1,1.0,312.0,3,3,3,393,36,0,0,0,0,0,0,12500,2010,172000,12.055255569732177,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2252.0,2658.0,923.0,429,1.5,0.0,52.0,16,0,52,0,0,0,0.1863040583163945,443.0,0.3333333333333333,0.5,176.1358024691358,0.0,95688.0,127584.0,936832.0,108,1040.0,15948.0,15948.0,18016.0,48,312.0,117104.0,312.0,2769.0,0.0,4,52.0,9.0,0
6,78.0,9978,3,4,1,6,6,12,1998,20.0,3,3,3,3,1,6,602.0,1,0.0,324.0,926.0,5,5,926,678,0,1604,0.0,2,1,3,1,4,7,8,1,4,12,3,2.0,470.0,3,3,3,360,36,0,0,0,0,0,0,0,2010,195500,12.18332077348399,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2206.0,2530.0,602.0,396,2.5,0.0,12.0,56,0,12,0,1,1,0.25355782721988374,534.6666666666666,0.6666666666666666,0.8333333333333334,127.92307692307692,0.4,91080.0,121440.0,211776.0,108,240.0,15180.0,15180.0,17648.0,48,72.0,26472.0,72.0,1806.0,0.0,4,24.0,18.0,4
8,43.0,5005,3,4,1,8,5,18,1992,0.0,4,3,4,3,1,5,263.0,1,0.0,1017.0,1280.0,5,5,1280,0,0,1280,0.0,2,0,2,1,4,5,8,0,0,18,2,2.0,506.0,3,3,3,0,82,0,0,144,0,0,0,0,2010,191500,12.162648309521318,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1543.0,2560.0,263.0,226,2.0,0.0,18.0,50,0,18,0,0,0,0.5114885114885115,640.0,1.0,1.0,116.3953488372093,0.0,102400.0,163840.0,222192.0,192,360.0,20480.0,12800.0,12344.0,64,90.0,27774.0,90.0,1052.0,0.0,4,36.0,18.0,0
9,39.0,5389,3,4,1,8,5,15,1996,0.0,4,3,4,3,1,6,1180.0,1,0.0,415.0,1595.0,5,5,1616,0,0,1616,1.0,2,0,2,1,4,5,8,1,3,15,2,2.0,608.0,3,3,3,237,152,0,0,0,0,0,0,0,2010,236500,12.373707715234994,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2796.0,3211.0,1180.0,389,3.0,1.0,14.5,53,0,14,0,0,1,0.595843384672481,808.0,1.0,1.5,138.17948717948718,0.3333333333333333,128440.0,205504.0,324336.0,192,290.0,25688.0,16055.0,22368.0,64,72.5,40542.0,72.5,4720.0,1180.0,4,30.0,18.0,3
10,60.0,7500,4,4,1,7,5,11,1999,0.0,3,3,3,3,1,1,0.0,1,0.0,994.0,994.0,4,5,1028,776,0,1804,0.0,2,1,3,1,4,7,8,1,3,11,3,2.0,442.0,3,3,3,140,60,0,0,0,0,0,0,0,2010,189000,12.149507585033072,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1804.0,2798.0,0.0,200,2.5,0.0,11.0,57,1,11,0,1,1,0.37306666666666666,601.3333333333334,0.6666666666666666,0.8333333333333334,125.0,0.4,97930.0,156688.0,158752.0,108,220.0,19586.0,13990.0,14432.0,56,55.0,19844.0,55.0,0.0,0.0,4,22.0,18.0,3
12,0.0,7980,3,4,1,6,7,18,2007,0.0,3,4,4,3,1,5,935.0,1,0.0,233.0,1168.0,5,5,1187,0,0,1187,1.0,2,0,3,1,3,6,8,0,0,18,3,2.0,420.0,3,3,3,483,21,0,0,0,0,0,4,500,2010,185000,12.128116509451258,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2122.0,2355.0,935.0,504,3.0,1.0,10.5,50,0,3,0,0,0,0.2951127819548872,395.6666666666667,0.6666666666666666,1.0,500.0,0.0,98910.0,113040.0,178248.0,108,210.0,14130.0,16485.0,16976.0,48,73.5,22281.0,73.5,3740.0,935.0,3,36.0,18.0,0
13,63.0,8402,3,4,1,6,5,12,1998,0.0,3,3,4,3,1,1,0.0,1,0.0,789.0,789.0,4,5,789,676,0,1465,0.0,2,1,3,1,3,7,8,1,4,12,3,2.0,393.0,3,3,3,0,75,0,0,0,0,0,0,0,2010,180400,12.102937429832547,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1465.0,2254.0,0.0,75,2.5,0.0,12.0,56,0,12,0,1,1,0.2682694596524637,488.3333333333333,0.6666666666666666,0.8333333333333334,133.36507936507937,0.4,67620.0,108192.0,140640.0,108,240.0,13524.0,11270.0,11720.0,48,60.0,17580.0,60.0,0.0,0.0,3,24.0,18.0,4
15,0.0,6820,3,4,1,8,5,25,1985,0.0,4,3,4,3,3,6,368.0,4,1120.0,0.0,1488.0,3,5,1502,0,0,1502,1.0,1,1,1,1,4,4,8,0,0,25,2,2.0,528.0,3,3,3,0,54,0,0,140,0,0,0,0,2010,212000,12.264346270624157,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2990.0,2990.0,1488.0,194,2.5,1.0,25.0,43,0,25,0,0,0,0.43841642228739003,1502.0,2.0,2.5,500.0,0.0,119600.0,191360.0,598000.0,192,500.0,23920.0,14950.0,23920.0,64,125.0,74750.0,125.0,5952.0,1488.0,4,50.0,18.0,0
